id,external_id,title,department,location,state,city,job_type,salary_min,salary_max,posted_date,url,description,qualifications,scraped_at,unique_key,company_name,subdomain,portal_slug,sector,ats_type
14843126,164089,Supply Chain Coordinator,Business Operations,US-GA-Atlanta,,,,,,2026-04-29T19:36:00,https://ehccareers-emory.icims.com/jobs/jobs/164089/job,,,2026-04-30T09:24:11.421011,67a1f9c88099f0d9,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
14826494,162941,Clinical Risk Manager,Nursing,US-GA-Atlanta,,,,,,2026-04-29T19:34:00,https://ehccareers-emory.icims.com/jobs/jobs/162941/job,,,2026-04-30T09:24:11.421677,0acb3be9307971f0,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
14844017,155846,"Supervisor, Shift Starbucks",Food Services,US-GA-Atlanta,,,,,,2026-04-29T19:04:00,https://ehccareers-emory.icims.com/jobs/jobs/155846/job,,,2026-04-30T09:24:11.423072,655276338db34553,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
14843997,164282,Infection Control Coordinator / RN,Nursing,US-GA-Decatur,,,,,,2026-04-29T16:38:00,https://ehccareers-emory.icims.com/jobs/jobs/164282/job,,,2026-04-30T09:24:11.420871,adc1493a19d5c82d,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
14844001,163796,Behavorial Health Registered Nurse / RN,Nursing,US-GA-Decatur,,,,,,2026-04-29T16:04:00,https://ehccareers-emory.icims.com/jobs/jobs/163796/job,,,2026-04-30T09:24:11.421259,6af79a05574093f9,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
14844012,160264,"Sr Manager, Communications",Business Operations,US-GA-Atlanta,,,,,,2026-04-29T15:44:00,https://ehccareers-emory.icims.com/jobs/jobs/160264/job,,,2026-04-30T09:24:11.422719,2fb9642848ebef4e,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
14844008,161800,Inpatient Utilization Review Registered Nurse PRN / RN,Nursing,US-GA-Atlanta,,,,,,2026-04-29T15:33:00,https://ehccareers-emory.icims.com/jobs/jobs/161800/job,,,2026-04-30T09:24:11.422212,a949c10abac46ecb,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
14844013,159165,Patient Sitter / PRN /  Float Pool,Clinical & Nursing Support,US-GA-Atlanta,,,,,,2026-04-29T14:02:00,https://ehccareers-emory.icims.com/jobs/jobs/159165/job,,,2026-04-30T09:24:11.422766,3b9080bea419b3b5,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
14844010,160810,Patient Sitter / PRN / Float,Clinical & Nursing Support,US-GA-Atlanta,,,,,,2026-04-29T13:54:00,https://ehccareers-emory.icims.com/jobs/jobs/160810/job,,,2026-04-30T09:24:11.422550,6aff199cedafa41c,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
14844006,162511,Endoscopy Technician,Clinical & Nursing Support,US-GA-Dunwoody,,,,,,2026-04-29T13:46:00,https://ehccareers-emory.icims.com/jobs/jobs/162511/job,,,2026-04-30T09:24:11.421795,da8430f8012f246b,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
